authors,isbn13,title
['Michael Ashley'],9780812933871,"Random House Crostics, Volume 5 (other)"
"['Edmund Morris', 'Geoffrey Perret']",9780676795769,Random House Lives Of The Presidents
['Barbara Taylor Bradford'],9780375434945,Unexpected Blessings (random House Large Print)
['John Grisham'],9780375433467,The Firm (random House Large Print)
['Random House'],9780375426100,Random House World Atlas and Encyclopedia
"['Tony Geiss', 'Random House Reference']",9780679438984,Random House English language desk reference
['Rod Campbell'],9780679885870,Flying Things (random House Cuddle Feelies)
['Leonard Roy Frank'],9780375709319,Random House Webster's Wit & Humor Quotationary
['Nora Roberts'],9780375431678,Hot Ice (random House Large Print)
['James E. Clapp'],9780679764359,Random House Webster's Pocket Legal Dictionary
['Patricia S. Klein'],9780375721441,Random House Treasury Of Friendship Poems
['Barbara Hambly'],9780375432743,Wet Grave (random House Large Print)
['Madeline Hunter'],9780375432675,Stealing Heaven (random House Large Print)
['John Grisham'],9780375431487,The Summons (random House Large Print)
['David L. Gold'],9781417737826,Random House Latin-american Spanish Dictionary
['Editor-mel Rosen'],9780812936742,"Random House Casual Crosswords, Volume 5"
['Unknown'],9780808503880,Random House Webster&#39;s Dictionary
['Random House'],9780072430998,Random House Webster's Student Notebook Dictionary
"[""Bill O'reilly""]",9780375435058,Culture Warrior (random House Large Print)
['Michael Ashley'],9780812927689,"Random House Crostics, Volume 1 (other)"
['Stanley Newman'],9780812936254,Random House Fall Foliage Crosswords (vacation)
['Bridget Ardley'],9780394999920,Random House Book Of 1001 Ques
['Robert Fulghum'],9780679402862,Uh-oh (random House Large Print)
['Roy Mckie'],9780394937328,The Riddle Book (random House Pictureback)
['Danielle Steel'],9780739327746,Honor Thyself (random House Large Print)
['Dictionary'],9780345296177,French: The Random House Basic Dictionary
['Random House (edt)'],9780375405167,Random House Chinese To English Dictionary
['Random House'],9780375721168,Random House Dictionary of World Biography
['Sara Paretsky'],9780375408533,Hard Time (random House Large Print)
['Kristin Hannah'],9780375432132,Between Sisters (random House Large Print)
['Random House Staff'],9780375705960,Random House Easy Learning French Dictionary
['All-about Books'],9780394899886,Dogs (random House All-about Books)
['John Grisham'],9780739327661,The Appeal (random House Large Print)
['Joshua Spanogle'],9780739325865,Isolation Ward (random House Large Print)
['Sandra Brown'],9780375434655,Demon Rumm (random House Large Print)
['Stanley Newman'],9780804114622,The Random House Handy Crossword Book
